invoice_id;branch;city;customer_type;gender;product_line;unit_price;quantity;invoice_date;invoice_time;payment
750-67-8428;A;Yangon;Member;Female;Health and beauty;7469;7;2024-05-06;13:08:00;Ewallet
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;1528;5;2024-05-06;10:29:00;Cash
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;4633;7;2024-05-06;13:23:00;Credit card
123-19-1176;A;Yangon;Member;Male;Health and beauty;5822;8;2024-05-06;20:33:00;Ewallet
373-73-7910;A;Yangon;Normal;Male;Sports and travel;8631;7;2024-05-06;10:37:00;Ewallet
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;8539;7;2024-05-06;18:30:00;Ewallet
355-53-5943;A;Yangon;Member;Female;Electronic accessories;6884;6;2024-05-06;14:36:00;Ewallet
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;7356;10;2024-05-06;11:38:00;Ewallet
665-32-9167;A;Yangon;Member;Female;Health and beauty;3626;2;2024-05-06;17:15:00;Credit card
692-92-5582;B;Mandalay;Member;Female;Food and beverages;5484;3;2024-05-06;13:27:00;Credit card
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;1448;4;2024-05-06;18:07:00;Ewallet
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;2551;4;2024-05-06;17:03:00;Cash
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;4695;5;2024-05-06;10:25:00;Ewallet
252-56-2699;A;Yangon;Normal;Male;Food and beverages;4319;10;2024-05-06;16:48:00;Ewallet
829-34-3910;A;Yangon;Normal;Female;Health and beauty;7138;10;2024-05-06;19:21:00;Cash
299-46-1805;B;Mandalay;Member;Female;Sports and travel;9372;6;2024-05-06;16:19:00;Cash
656-95-9349;A;Yangon;Member;Female;Health and beauty;6893;7;2024-05-06;11:03:00;Credit card
765-26-6951;A;Yangon;Normal;Male;Sports and travel;7261;6;2024-05-06;10:39:00;Credit card
329-62-1586;A;Yangon;Normal;Male;Food and beverages;5467;3;2024-05-06;18:00:00;Credit card
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;403;2;2024-05-06;15:30:00;Ewallet
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;8604;5;2024-05-06;11:24:00;Ewallet
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;8798;3;2024-05-06;10:40:00;Ewallet
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;332;2;2024-05-06;12:20:00;Credit card
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;3456;5;2024-05-06;11:15:00;Ewallet
549-59-1358;A;Yangon;Member;Male;Sports and travel;8863;3;2024-05-06;17:36:00;Ewallet
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;5259;8;2024-05-06;19:20:00;Credit card
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;3352;1;2024-05-06;15:31:00;Cash
